"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"EGAN","Egain Corporati...","385","amc","0.01","0.06","+0.05 ","+500.00% ","5.06%",""
"IRBT","Irobot Corporat...","3,579","amc","0.20","0.84","+0.64 ","+320.00% ","1.31%",""
"AVLR","Avalara, Inc.","15,204","amc","-0.05","0.09","+0.14 ","+280.00% ","-2.85%",""
"UAA","Under Armour, I...","10,207","bmo","-0.07","0.12","+0.19 ","+271.43% ","8.35%",""
"NCTKF","Nabtesco Cp Tky...","5,703","--","0.17","0.58","+0.41 ","+241.18% ","0.00%",""
"EXEL","Exelixis, Inc.","7,145","amc","0.03","0.09","+0.06 ","+200.00% ","-4.17%",""
"WH","Wyndham Hotels...","5,804","amc","0.03","0.07","+0.04 ","+133.33% ","-2.22%",""
"SCGLY","Societe General...","18,646","bmo","0.06","0.13","+0.07 ","+116.67% ","3.55%",""
"NGVT","Ingevity Corpor...","3,018","amc","0.68","1.33","+0.65 ","+95.59% ","-6.31%",""
"BG","Bunge Limited","10,431","bmo","1.62","3.05","+1.43 ","+88.27% ","-0.98%",""
"XPO","Xpo Logistics,...","11,200","amc","0.65","1.19","+0.54 ","+83.08% ","-4.02%",""
"ATUS","Altice Usa, Inc...","21,125","amc","0.35","0.60","+0.25 ","+71.43% ","-8.41%",""
"TLND","Talend S.a.","1,585","amc","-0.30","-0.10","+0.20 ","+66.67% ","14.35%",""
"FLOW","Spx Flow, Inc.","2,440","bmo","0.36","0.56","+0.20 ","+55.56% ","-0.12%",""
"TM","Toyota Motor Co...","225,858","bmo","3.65","5.67","+2.02 ","+55.34% ","4.91%",""
"INMD","Inmode Ltd.","2,228","bmo","0.61","0.94","+0.33 ","+54.10% ","1.25%",""
"LUMN","Lumen Technolog...","13,692","amc","0.32","0.48","+0.16 ","+50.00% ","-7.85%",""
"VERU","Veru Inc.","1,383","bmo","-0.04","-0.02","+0.02 ","+50.00% ","-0.21%",""
"PS","Pluralsight, In...","3,154","bmo","-0.02","-0.01","+0.01 ","+50.00% ","0.14%",""
"VNDA","Vanda Pharmaceu...","843","amc","0.10","0.15","+0.05 ","+50.00% ","21.16%",""
"MC","Moelis & Compan...","3,505","amc","1.33","1.99","+0.66 ","+49.62% ","-1.48%",""
"MCFT","Mastercraft Boa...","544","bmo","0.51","0.75","+0.24 ","+47.06% ","-1.03%",""
"IVC","Invacare Corpor...","359","amc","-0.18","-0.10","+0.08 ","+44.44% ","-7.49%",""
"PYPD","Polypid Ltd.","234","bmo","-0.73","-0.41","+0.32 ","+43.84% ","7.76%",""
"ZG","Zillow Group, I...","39,952","amc","0.29","0.41","+0.12 ","+41.38% ","16.82%",""
"AIN","Albany Internat...","2,434","amc","0.63","0.89","+0.26 ","+41.27% ","-4.70%",""
"NVST","Envista Holding...","6,216","amc","0.40","0.56","+0.16 ","+40.00% ","2.16%",""
"COHR","Coherent, Inc.","5,431","amc","0.78","1.09","+0.31 ","+39.74% ","--",""
"SONO","Sonos, Inc.","3,760","amc","0.84","1.17","+0.33 ","+39.29% ","15.68%",""
"CINF","Cincinnati Fina...","14,326","amc","1.17","1.61","+0.44 ","+37.61% ","2.62%",""
"ARCC","Ares Capital Co...","7,819","bmo","0.40","0.54","+0.14 ","+35.00% ","2.66%",""
"DBD","Diebold Nixdorf...","1,061","bmo","0.33","0.44","+0.11 ","+33.33% ","-0.80%",""
"RM","Regional Manage...","358","amc","0.96","1.28","+0.32 ","+33.33% ","4.59%",""
"CRTO","Criteo S.a.","1,743","bmo","0.76","0.98","+0.22 ","+28.95% ","17.70%",""
"PI","Impinj, Inc.","1,473","amc","-0.20","-0.15","+0.05 ","+25.00% ","9.45%",""
"RWT","Redwood Trust,...","1,086","amc","0.21","0.26","+0.05 ","+23.81% ","2.27%",""
"HCSG","Healthcare Serv...","2,300","bmo","0.30","0.37","+0.07 ","+23.33% ","-8.88%",""
"KGC","Kinross Gold Co...","9,198","amc","0.22","0.27","+0.05 ","+22.73% ","-0.41%",""
"IO","Ion Geophysical...","53","amc","-0.54","-0.43","+0.11 ","+20.37% ","-12.96%",""
"DBOEY","Deutsche Boerse...","NA","--","0.15","0.18","+0.03 ","+20.00% ","-2.13%",""
"GM","General Motors...","78,550","bmo","1.62","1.93","+0.31 ","+19.14% ","-2.10%",""
