Symbol,Name,Last,Change,%Chg,"5D %Chg",High,Low,Volume,Time
SRMX,"Saddle Ranch Media Inc",0.0178,0.0107,+150.70%,"+1,086.67%",0.0196,0.0078,1452419100,02/11/21
SNRS,"Sunrise Consulting Group Inc",0.001,0.0001,+11.11%,+400.00%,0.0011,0.0009,1405368900,02/11/21
LTNC,"Labor Smart Inc",0.0143,0.0049,+52.13%,"+2,283.33%",0.0145,0.0084,998078000,02/11/21
SEEK,"Thedirectory.com Inc",0.0023,0.0009,+64.29%,+666.67%,0.0027,0.0015,884268900,02/11/21
RTON,"Right On Brands Inc",0.008,0.0016,+25.00%,+900.00%,0.0108,0.0067,788334600,02/11/21
BBDA,"Bebida Beverage CO",0.0027,0.0002,+8.00%,+460.00%,0.0046,0.0026,711509700,02/11/21
SGMD,"Sugarmade Inc",0.0144,0.0058,+67.44%,+500.00%,0.02,0.01,608346500,02/11/21
FBEC,"Fbec Worldwide Inc",0.0047,0.0006,+14.63%,+840.00%,0.0055,0.0036,552107000,02/11/21
PFNO,"Parafin Corp",0.004,0.0025,+166.67%,+700.00%,0.0075,0.0013,328233800,02/11/21
GDAR,"Golden Age Resources Inc",0.0005,0.0002,+66.67%,+400.00%,0.0005,0.0002,320212800,02/11/21
TFZI,"The Fight Zone Inc",0.0006,0.0001,+20.00%,+500.00%,0.0006,0.0003,193361300,02/11/21
TSTS,"That Marketing Solution Inc",0.0051,0.0023,+82.14%,+466.67%,0.0074,0.0029,165829900,02/11/21
RKLC,"Rockelle Corp",0.0044,0.001,+29.41%,"+2,150.00%",0.013,0.003,149061200,02/11/21
PGIE,"Pgi Energy Inc",0.001,0.0006,+150.00%,+900.00%,0.0015,0.0004,123290300,02/11/21
PLSB,"Pulse Beverage Corp",0.0006,0.0001,+20.00%,+500.00%,0.0006,0.0005,116740200,02/11/21
IPKL,"Ipackets International Inc",0.0005,0.0001,+25.00%,+400.00%,0.0017,0.0005,96088400,02/11/21
DKTS,"Top Shelf Brands Holdings Corp",0.001,0.0002,+25.00%,+400.00%,0.0012,0.0008,78183600,02/11/21
FARE,"World Moto Inc",0.0006,0.0002,+50.00%,+500.00%,0.0006,0.0004,73452300,02/11/21
TNKE,"Tanke Inc",0.003,0.0019,+172.73%,+500.00%,0.0083,0.0008,68673000,02/11/21
ADBN,"Americana Distribution Inc",0.002,0.0018,+900.00%,"+1,900.00%",0.01,0.0003,64854600,02/11/21
